景区名称,城市,入度,出度,度数
重庆洪崖洞民俗风貌区,渝中区,118,159,277
解放碑,渝中区,105,142,247
李子坝轻轨,渝中区,98,103,201
重庆磁器口古镇,沙坪坝区,91,87,178
来福士广场,渝中区,86,87,173
重庆长江索道景区,渝中区,80,81,161
重庆鹅岭公园,渝中区,72,74,146
宽窄巷子,成都市,67,77,144
千厮门大桥,渝中区,64,58,122
锦里,成都市,59,63,122
春熙路,成都市,59,60,119
四川美术学院,九龙坡区,50,51,101
成都武侯祠博物馆,成都市,49,49,98
重庆市南山风景区,南岸区,46,37,83
成都远洋太古里,成都市,41,36,77
八一路好吃街,渝中区,40,36,76
重庆观音桥商圈都市旅游区,江北区,38,31,69
渣滓洞,沙坪坝区,34,34,68
青城山—都江堰旅游景区,成都市,29,38,67
成都人民公园,成都市,34,28,62
白公馆,沙坪坝区,30,30,60
皇冠大扶梯,渝中区,29,27,56
重庆中国三峡博物馆,渝中区,26,28,54
重庆人民大礼堂及人民广场,渝中区,28,23,51
成都大熊猫繁育研究基地,成都市,23,22,45
山城步道,渝中区,22,23,45
重庆南滨路景区,南岸区,24,21,45
IFS,成都市,21,23,44
成都杜甫草堂博物馆,成都市,22,22,44
大慈寺,成都市,21,21,42
重庆南岸长嘉汇弹子石老街,南岸区,22,19,41
文殊院,成都市,23,16,39
九眼桥,成都市,21,17,38
东郊记忆,成都市,17,18,35
天府广场,成都市,17,18,35
十八梯,渝中区,18,17,35
乐山大佛景区,乐山市,16,16,32
中山四路,渝中区,16,16,32
重庆湖广会馆,渝中区,17,12,29
重庆荣昌万灵古镇,荣昌区,7,19,26
罗中立美术馆,沙坪坝区,14,12,26
筒子楼,南岸区,14,12,26
东水门长江大桥,南岸区,12,13,25
峨眉山风景名胜区,乐山市,7,16,23
罗汉寺,渝中区,11,11,22
重庆大剧院,江北区,13,9,22
重庆荣昌夏布小镇景区,荣昌区,16,6,22
龙门浩老街,南岸区,11,11,22
重庆大足石刻景区,大足区,9,12,21
铁路四村,九龙坡区,11,9,20
九街,江北区,11,8,19
青羊宫,成都市,10,9,19
魁星楼,渝中区,9,10,19
玉林路小酒馆,成都市,9,8,17
净音寺,綦江区,9,8,17
重庆綦江博物馆,綦江区,7,9,16
佛图关公园,渝中区,9,7,16
重庆动物园,九龙坡区,7,8,15
重庆枇杷山,渝中区,10,5,15
四川大学,成都市,9,6,15
重庆荣昌安陶博物馆,荣昌区,9,6,15
成都金沙遗址博物馆,成都市,7,7,14
四川博物院,成都市,7,7,14
奎星楼,成都市,7,7,14
成都鹪鹩人文精品酒店,成都市,9,5,14
石井坡,沙坪坝区,7,7,14
国泰艺术中心,渝中区,8,6,14
鹤鸣茶社,成都市,9,4,13
周公馆,渝中区,7,6,13
奥陶纪,綦江区,7,6,13
壹华里,南岸区,7,6,13
成都市西岭雪山景区,成都市,5,7,12
重庆綦江古剑山风景区,綦江区,3,9,12
重庆美术馆,渝中区,6,6,12
成都麓湖水城景区,成都市,5,6,11
农民版画院,綦江区,8,2,10
重庆綦江石壕红军烈士墓,綦江区,6,4,10
桂园,渝中区,5,5,10
成都市双流区黄龙溪旅游区,成都市,6,4,10
浣花溪,成都市,7,3,10
下浩老街,南岸区,5,5,10
重庆两江国际影视城,渝北区,3,7,10
重庆綦江国家地质公园老瀛山景区,綦江区,4,5,9
重庆大学,沙坪坝区,5,3,8
重庆宋庆龄旧居陈列馆,渝中区,4,4,8
重庆华生园金色蛋糕梦幻王国景区,大渡口区,4,4,8
重庆交通茶馆,九龙坡区,4,4,8
重庆会仙楼,渝中区,4,3,7
北仓文创园,江北区,4,3,7
宝山旅游区,成都市,4,3,7
四川广汉三星堆博物馆,德阳市,4,3,7
蒲花暗河,黔江区,4,3,7
重庆黔江濯水古镇,黔江区,2,4,6
自贡市燊海井景区,自贡市,3,3,6
三多古寨景区,自贡市,3,3,6
牛佛古镇景区,自贡市,3,3,6
乐山东方佛都旅游区,乐山市,3,3,6
兰桂坊,成都市,3,3,6
阆中古城,南充市,1,5,6
成都环球中心,成都市,3,3,6
重庆建川博物馆,九龙坡区,2,3,5
重庆当代美术馆,九龙坡区,3,2,5
重庆南川金佛山景区,南川区,3,2,5
重庆万盛黑山谷景区,綦江区,2,3,5
重庆南温泉风景区,巴南区,3,2,5
重庆关岳庙,渝中区,3,2,5
重庆歌乐山烈士陵园,渝中区,3,2,5
重庆园博园,渝北区,4,1,5
重庆黔江芭拉胡景区,黔江区,2,2,4
重庆抗战遗址博物馆,南岸区,2,2,4
中兴路旧货交易,渝中区,2,2,4
史迪威博物馆,渝中区,2,2,4
南滨公园,渝中区,2,2,4
重庆红岩革命纪念馆,渝中区,2,2,4
重庆白象街,渝中区,2,2,4
特园,渝中区,2,2,4
洋人街,南岸区,2,2,4
朝天门长江大桥,南岸区,2,2,4
寻龙山景区,绵阳市,2,2,4
重庆歌乐山森林公园,沙坪坝区,2,2,4
保宁醋文化博览园旅游景区,南充市,2,2,4
南津关古镇,南充市,2,2,4
阆中文庙,南充市,2,2,4
重庆统景温泉风景区,渝北区,4,0,4
川剧院,渝北区,2,2,4
碧峰峡旅游景区,雅安市,2,2,4
重庆市潼南区陈抟故里景区,潼南区,2,2,4
重庆潼南双江古镇景区,潼南区,2,2,4
重庆潼南大佛寺,潼南区,2,2,4
巴岳山,铜梁区,3,1,4
绵阳北川飞鸿滑草场景区,绵阳市,2,2,4
江油李白纪念馆景区,绵阳市,2,2,4
重庆汉海海洋公园,巴南区,2,2,4
重庆江津中山古镇,江津区,3,1,4
洛带古镇,成都市,2,2,4
梵高星空艺术馆,成都市,2,2,4
成都玉林路,成都市,2,2,4
昌州古城,大足区,2,2,4
重庆科技馆,江北区,2,2,4
鸿恩寺,江北区,2,2,4
重庆江津四面山景区,江津区,2,2,4
玫瑰海,自贡市,2,2,4
梓橦县七曲山风景区,绵阳市,2,2,4
九皇山,绵阳市,2,2,4
绵阳市梓潼县两弹城旅游景区,绵阳市,2,2,4
重庆合川钓鱼城景区,合川区,1,2,3
重庆铜梁黄桷门奇彩梦园,铜梁区,2,1,3
安州区花城果乡旅游景区,绵阳市,2,1,3
雅安蒙顶山旅游景区,雅安市,1,2,3
重庆江津黑石山风景区,江津区,1,2,3
成都市川菜博物馆,成都市,2,1,3
重庆合川涞滩古镇,合川区,2,1,3
南湖梦幻岛,成都市,2,1,3
重庆铜梁玄天湖景区,铜梁区,2,1,3
刘氏庄园旅游区,成都市,1,2,3
灌县古城,成都市,2,1,3
安州区枣皮走廊·蝴蝶谷景区,绵阳市,2,1,3
重庆华岩旅游区,九龙坡区,2,1,3
瓦屋山景区,眉山市,2,1,3
重庆忠县石宝寨,忠县,2,1,3
百花潭,成都市,1,2,3
重庆涪陵816工程景区,涪陵区,2,1,3
自贡恐龙博物馆,自贡市,1,2,3
五粮液旅游景区,宜宾市,1,2,3
重庆巴南云篆山,巴南区,2,1,3
重庆梁平双桂堂,梁平区,2,1,3
西流沱小镇,巴南区,0,3,3
绵阳市罗浮山景区,绵阳市,1,2,3
黄桷湾立交桥,南岸区,2,1,3
方所书店,成都市,1,1,2
成都博物馆,成都市,2,0,2
重庆乐和乐都景区,永川区,0,2,2
重庆白鹤梁水下博物馆景区,涪陵区,1,1,2
宜宾市蜀南竹海风景名胜区,宜宾市,1,1,2
重庆渝北龙兴古镇景区,渝北区,1,1,2
重庆永川茶山竹海旅游景区,永川区,1,1,2
夜啤酒长廊,成都市,1,1,2
黑龙滩旅游景区,眉山市,1,1,2
琴台故径,成都市,1,1,2
美国驻成都总领事馆,成都市,1,1,2
重庆中国民主党派历史陈列馆景区,渝中区,1,1,2
重庆长寿菩提山文化旅游区,长寿区,1,1,2
重庆长寿菩提古镇文化旅游区,长寿区,1,1,2
重庆云阳张飞庙,云阳县,1,1,2
重庆巴南羊鹿山景区,巴南区,1,1,2
重庆缙云山景区,北碚区,1,1,2
重庆大韩民国临时政府旧址陈列馆,渝中区,1,1,2
李子坝公园,渝中区,1,1,2
四川省图书馆,成都市,1,1,2
成都市海昌极地海洋世界景区,成都市,1,1,2
成都欢乐谷,成都市,1,1,2
成都市建川博物馆聚落,成都市,1,1,2
新繁东湖景区,成都市,1,1,2
成都市彭州丹景山旅游景区,成都市,1,1,2
成都市花水湾温泉度假旅游区,成都市,2,0,2
成都市虹口旅游景区,成都市,1,1,2
都江堰市茶溪谷旅游景区,成都市,1,1,2
龙苍沟叠翠溪景区,雅安市,1,1,2
重庆美心红酒小镇景区3A,涪陵区,1,1,2
重庆石笋山景区,江津区,1,1,2
犍为文庙,乐山市,1,1,2
重庆江津白沙老重庆影视基地,江津区,1,1,2
重庆黔江小南海旅游景区,黔江区,1,1,2
重庆黔江土家十三寨,黔江区,1,1,2
杨家坪步行街,九龙坡区,1,1,2
重庆江津会龙庄景区,江津区,1,1,2
塔子山,江北区,1,1,2
绵阳市江油窦圌山风景区,绵阳市,1,1,2
黄花园大桥,江北区,1,1,2
红岩魂陈列馆,沙坪坝区,1,1,2
重庆双龙湖,合川区,2,0,2
重庆铜梁安居古城,铜梁区,0,2,2
重庆江津陈独秀旧居陈列馆,江津区,1,1,2
阆中天宫院风水文化景区,南充市,2,0,2
重庆梁平滑石古寨景区,梁平区,1,1,2
三苏祠景区,眉山市,1,1,2
泸州老窖旅游区,泸州市,1,1,2
苏家坝立交桥,南岸区,1,1,2
泸州市凤凰湖旅游景区,泸州市,1,1,2
重庆潼南杨闇公故里景区,潼南区,1,1,2
重庆海兰云天温泉度假区,九龙坡区,1,0,1
尧坝古镇,泸州市,0,1,1
重庆江津石门大佛景区,江津区,1,0,1
龙浒峡漂流,巴南区,1,0,1
邛峡市平乐古镇,成都市,0,1,1
罗城古镇,乐山市,1,0,1
乐山市犍为县嘉阳.桫椤湖景区,乐山市,1,0,1
重庆自然博物馆,北碚区,1,0,1
重庆忠县白公祠文博景区,忠县,0,1,1
重庆中华梁平柚海,梁平区,1,0,1
重庆梁平百里竹海,梁平区,0,1,1
乐山市黑竹沟风景区,乐山市,1,0,1
重庆聂荣臻元帅陈列馆,江津区,0,1,1
山王坪,南川区,0,1,1
绵阳市越王楼?三江半岛景区,绵阳市,0,1,1
重庆涪陵武陵山大裂谷景区,涪陵区,1,0,1
重庆巅峰乐园,綦江区,0,1,1
重庆市黔江神龟峡景区,黔江区,1,0,1
重庆万州西山公园,万州区,0,1,1
雅安周公山森林公园,雅安市,1,0,1
重庆九龙坡九凤山景区,万州区,0,1,1
重庆三峡移民纪念馆,万州区,1,0,1
邓小平故里旅游区,广安市,1,0,1
重庆涪陵武陵山国家森林公园,涪陵区,0,1,1
重庆铜梁邱少云烈士纪念馆,铜梁区,0,1,1
重庆丰都名山风景区,丰都县,0,1,1
荷和原乡,铜梁区,0,1,1
重庆大足荷花山庄,大足区,1,0,1
重庆欢乐谷景区,渝北区,0,1,1
重庆际华园景区,渝北区,1,0,1
重庆大足海棠香国历史文化风情城,大足区,0,1,1
四川美术馆,成都市,1,0,1
紫坪铺水库,成都市,0,1,1
成都市锦门景区,成都市,0,1,1
喵儿石创艺,江北区,0,1,1
成都市崇州市竹艺村景区,成都市,1,0,1
天台山风景名胜区,成都市,1,0,1
雅女湖有机农庄,眉山市,1,0,1
上里古镇,雅安市,1,0,1
雅安市名山区牛碾坪景区,雅安市,0,1,1
