景区名称,城市,入度,出度,度数
重庆洪崖洞民俗风貌区,渝中区,115,130,245
解放碑,渝中区,92,132,224
李子坝轻轨,渝中区,84,86,170
来福士广场,渝中区,77,78,155
重庆磁器口古镇,沙坪坝区,73,73,146
重庆长江索道景区,渝中区,64,63,127
宽窄巷子,成都市,56,71,127
春熙路,成都市,49,59,108
锦里,成都市,51,54,105
重庆鹅岭公园,渝中区,52,45,97
千厮门大桥,渝中区,51,43,94
成都武侯祠博物馆,成都市,44,43,87
成都远洋太古里,成都市,38,35,73
八一路好吃街,渝中区,41,31,72
重庆市南山风景区,南岸区,35,29,64
青城山—都江堰旅游景区,成都市,27,34,61
四川美术学院,九龙坡区,30,27,57
成都杜甫草堂博物馆,成都市,30,27,57
皇冠大扶梯,渝中区,29,26,55
山城步道,渝中区,30,23,53
重庆观音桥商圈都市旅游区,江北区,27,25,52
成都人民公园,成都市,27,23,50
文殊院,成都市,24,24,48
天府广场,成都市,25,23,48
渣滓洞,沙坪坝区,24,23,47
白公馆,沙坪坝区,23,23,46
重庆南滨路景区,南岸区,22,23,45
重庆中国三峡博物馆,渝中区,23,19,42
重庆人民大礼堂及人民广场,渝中区,21,21,42
东水门长江大桥,南岸区,20,20,40
中山四路,渝中区,18,21,39
IFS,成都市,21,17,38
大慈寺,成都市,18,18,36
周公馆,渝中区,17,18,35
重庆大足石刻景区,大足区,18,16,34
重庆湖广会馆,渝中区,17,17,34
乐山大佛景区,乐山市,15,18,33
成都大熊猫繁育研究基地,成都市,17,15,32
重庆南岸长嘉汇弹子石老街,南岸区,16,16,32
桂园,渝中区,15,14,29
峨眉山风景名胜区,乐山市,12,16,28
玉林路小酒馆,成都市,13,14,27
九眼桥,成都市,14,12,26
四川广汉三星堆博物馆,德阳市,13,12,25
十八梯,渝中区,10,14,24
魁星楼,渝中区,12,12,24
成都鹪鹩人文精品酒店,成都市,12,10,22
佛图关公园,渝中区,11,11,22
重庆大剧院,江北区,11,10,21
重庆宋庆龄旧居陈列馆,渝中区,10,10,20
国泰艺术中心,渝中区,10,10,20
成都金沙遗址博物馆,成都市,12,8,20
东郊记忆,成都市,10,9,19
罗汉寺,渝中区,10,9,19
特园,渝中区,9,9,18
浣花溪,成都市,10,7,17
筒子楼,南岸区,10,7,17
九街,江北区,8,9,17
奎星楼,成都市,8,8,16
龙门浩老街,南岸区,7,7,14
重庆美术馆,渝中区,7,6,13
重庆会仙楼,渝中区,6,7,13
青羊宫,成都市,6,6,12
重庆南川金佛山景区,南川区,3,9,12
罗中立美术馆,沙坪坝区,6,6,12
红岩魂陈列馆,沙坪坝区,6,6,12
重庆红岩革命纪念馆,渝中区,5,7,12
重庆丰都名山风景区,丰都县,6,4,10
重庆科技馆,江北区,5,5,10
奥陶纪,綦江区,4,5,9
重庆歌乐山烈士陵园,渝中区,5,4,9
四川博物院,成都市,4,5,9
龙浒峡漂流,巴南区,2,6,8
重庆枇杷山,渝中区,4,4,8
重庆万盛黑山谷景区,綦江区,4,4,8
杨家坪步行街,九龙坡区,3,5,8
重庆中国民主党派历史陈列馆景区,渝中区,5,3,8
重庆渝中嘉西村—怡园景区,綦江区,5,3,8
成都市双流区黄龙溪旅游区,成都市,3,5,8
成都市西岭雪山景区,成都市,4,3,7
重庆动物园,九龙坡区,3,4,7
重庆云阳龙缸景区,云阳县,4,3,7
山王坪,南川区,7,0,7
洛带古镇,成都市,4,3,7
鹤鸣茶社,成都市,4,3,7
黄花园大桥,江北区,4,3,7
三苏祠景区,眉山市,2,4,6
百花潭,成都市,4,2,6
五粮液旅游景区,宜宾市,3,3,6
灌县古城,成都市,3,3,6
阆中古城,南充市,3,3,6
重庆华生园金色蛋糕梦幻王国景区,大渡口区,3,3,6
昌州古城,大足区,2,4,6
重庆合川钓鱼城景区,合川区,2,4,6
四川大学,成都市,3,3,6
壹华里,南岸区,4,2,6
宝山旅游区,成都市,2,3,5
朝天门长江大桥,南岸区,3,2,5
重庆园博园,渝北区,2,3,5
重庆人民英雄纪念碑,九龙坡区,3,2,5
重庆自然博物馆,北碚区,3,2,5
重庆涪陵武陵山国家森林公园,涪陵区,1,4,5
重庆涪陵武陵山大裂谷景区,涪陵区,4,1,5
重庆云阳张飞庙,云阳县,1,4,5
石井坡,沙坪坝区,3,2,5
重庆大学,沙坪坝区,3,2,5
宜宾市蜀南竹海风景名胜区,宜宾市,2,3,5
重庆合川涞滩古镇,合川区,3,2,5
邛峡市平乐古镇,成都市,2,3,5
重庆歌乐山森林公园,沙坪坝区,2,2,4
洋人街,南岸区,2,2,4
重庆铜梁黄桷门奇彩梦园,铜梁区,2,2,4
碧峰峡旅游景区,雅安市,2,2,4
重庆铜梁玄天湖景区,铜梁区,2,2,4
重庆三峡移民纪念馆,万州区,2,2,4
重庆南温泉风景区,巴南区,2,2,4
重庆黔江濯水古镇,黔江区,2,2,4
铁路四村,九龙坡区,2,2,4
四川美术馆,成都市,2,2,4
曾家岩书院,渝中区,2,2,4
史迪威博物馆,渝中区,2,2,4
重庆白象街,渝中区,2,2,4
重庆丰都雪玉洞景区,丰都县,2,2,4
洞亭火锅,渝中区,2,2,4
江北区福音堂,江北区,2,2,4
四川省图书馆,成都市,2,2,4
自贡市燊海井景区,自贡市,2,2,4
重庆缙云山景区,北碚区,2,2,4
重庆长寿湖旅游区,长寿区,2,1,3
保宁醋文化博览园旅游景区,南充市,2,1,3
重庆铜梁安居古城,铜梁区,1,2,3
成都麓湖水城景区,成都市,2,1,3
自贡恐龙博物馆,自贡市,1,2,3
自贡盐业历史博物馆,自贡市,1,2,3
崇州市罨画池,成都市,2,1,3
罗城古镇,乐山市,2,1,3
上里古镇,雅安市,1,2,3
绵阳市江油窦圌山风景区,绵阳市,2,1,3
乐山东方佛都旅游区,乐山市,2,1,3
重庆建川博物馆,九龙坡区,2,1,3
雅女湖有机农庄,眉山市,2,1,3
川西竹海景区,成都市,2,1,3
绵阳市江油李白故居旅游景区,绵阳市,1,2,3
绵阳市越王楼?三江半岛景区,绵阳市,1,2,3
重庆大韩民国临时政府旧址陈列馆,渝中区,1,1,2
重庆统景温泉风景区,渝北区,0,2,2
重庆潼南大佛寺,潼南区,1,1,2
中国彩灯博物馆,自贡市,1,1,2
天池公园景区,宜宾市,1,1,2
三多古寨景区,自贡市,1,1,2
宜宾市流杯池公园,宜宾市,1,1,2
资阳市安岳石刻?圆觉洞景区,资阳市,1,1,2
翠屏区翠屏山景区,宜宾市,1,1,2
安岳石窟.卧佛院,资阳市,1,1,2
重庆忠县石宝寨,忠县,1,1,2
通远门城墙遗址,渝中区,1,1,2
遂宁市龙凤景区,遂宁市,0,2,2
李子坝公园,渝中区,1,1,2
长寿古镇,长寿区,1,1,2
观音湖湿地公园旅游景区,遂宁市,2,0,2
重庆云阳三峡梯城景区,云阳县,1,1,2
雅安蒙顶山旅游景区,雅安市,1,1,2
云端之眼观景台,渝中区,1,1,2
重庆市规划展览馆,渝中区,1,1,2
荷和原乡,铜梁区,1,1,2
中华彩灯大世界,自贡市,2,0,2
黑龙滩旅游景区,眉山市,1,1,2
重庆当代美术馆,九龙坡区,1,1,2
成都市崇州元通古镇景区,成都市,1,1,2
重庆丰都南天湖景区,丰都县,0,2,2
成都市花水湾温泉度假旅游区,成都市,1,1,2
瓦屋山景区,眉山市,1,1,2
天台山风景名胜区,成都市,0,2,2
望丛祠,成都市,1,1,2
成都蜀锦织绣博物馆,成都市,1,1,2
泸州老窖旅游区,泸州市,1,1,2
开江金山寺旅游景区,达州市,1,1,2
乐山市夹江县东风堰-千佛岩景区,乐山市,1,1,2
重庆石笋山景区,江津区,1,1,2
成都市川菜博物馆,成都市,1,1,2
重庆大足荷花山庄,大足区,1,1,2
重庆江津四面山景区,江津区,1,1,2
喵儿石创艺,江北区,1,1,2
中国绵竹年画村景区,德阳市,0,2,2
鸿恩寺,江北区,1,1,2
北仓文创园,江北区,1,1,2
天意谷景区,广安市,1,1,2
神龙山巴人石头城,广安市,2,0,2
广安华蓥山旅游区,广安市,0,2,2
邓小平故里旅游区,广安市,1,1,2
三圣花乡观光旅游区,成都市,2,0,2
重庆丰都九重天景区,丰都县,2,0,2
安顺廊桥,成都市,1,1,2
重庆北碚金刀峡景区,北碚区,1,1,2
兰桂坊,成都市,1,1,2
南津关古镇,南充市,2,0,2
绵阳市仙海旅游景区,绵阳市,2,0,2
阆中文庙,南充市,1,1,2
清代四川贡院,南充市,1,1,2
下浩老街,南岸区,1,1,2
梵高星空艺术馆,成都市,2,0,2
刘氏庄园旅游区,成都市,2,0,2
大熊猫月亮产房,成都市,1,1,2
江油市中国酱文化博览园,绵阳市,1,1,2
市中区黄鹤湖旅游区,内江市,1,1,2
西流沱小镇,巴南区,1,1,2
江油李白纪念馆景区,绵阳市,1,1,2
重庆巴南丰盛古镇,巴南区,0,1,1
玫瑰海,自贡市,0,1,1
重庆巴南天坪山云林天乡景区,巴南区,0,1,1
剑南老街,德阳市,1,0,1
牛佛古镇景区,自贡市,1,0,1
新繁东湖景区,成都市,0,1,1
重庆北泉风景区,北碚区,1,0,1
重庆大足海棠香国历史文化风情城,大足区,1,0,1
重庆忠县白公祠文博景区,忠县,1,0,1
五凤溪景区,成都市,1,0,1
成都市龙泉驿区蔚然花海景区,成都市,1,0,1
四川邛崃茶兰景区,成都市,1,0,1
成都市双流区海滨城景区,成都市,1,0,1
成都欢乐谷,成都市,1,0,1
成都市彭州丹景山旅游景区,成都市,1,0,1
成都市建川博物馆聚落,成都市,0,1,1
昌州故里,荣昌区,0,1,1
重庆江津中山古镇,江津区,1,0,1
重庆白鹤梁水下博物馆景区,涪陵区,0,1,1
黄桷湾立交桥,南岸区,1,0,1
绵阳市罗浮山景区,绵阳市,1,0,1
重庆潼南双江古镇景区,潼南区,1,0,1
绵阳富乐山景区,绵阳市,0,1,1
绵阳市千佛山,绵阳市,0,1,1
巴岳山,铜梁区,1,0,1
重庆抗战遗址博物馆,南岸区,1,0,1
遂宁市中国死海旅游度假区,遂宁市,1,0,1
重庆铁山坪森林公园,江北区,0,1,1
世界荷花博览园,遂宁市,0,1,1
重庆加勒比海水世界景区,南岸区,1,0,1
阆中天宫院风水文化景区,南充市,0,1,1
南充市凌云山景区,南充市,1,0,1
高坪区鹤鸣山旅游景区,南充市,0,1,1
重庆巅峰乐园,綦江区,1,0,1
重庆巴南云篆山,巴南区,1,0,1
石棉县安顺场景区,雅安市,1,0,1
雅安喇叭河森林公园,雅安市,0,1,1
柳江古镇旅游景区,眉山市,0,1,1
仁寿城市湿地公园,眉山市,1,0,1
宜宾市李庄古镇,宜宾市,0,1,1
苦竹?天泉景区,宜宾市,1,0,1
玉蟾山景区,泸州市,1,0,1
重庆乐和乐都景区,永川区,1,0,1
龙桥文化生态园,泸州市,0,1,1
清溪谷花田酒地景区,泸州市,1,0,1
重庆渝北印盒李花生态旅游区,渝北区,1,0,1
泸州市凤凰湖旅游景区,泸州市,0,1,1
乐山市黑竹沟风景区,乐山市,1,0,1
金口河区大渡河金口大峡谷旅游景区,乐山市,0,1,1
重庆海兰云天温泉度假区,九龙坡区,1,0,1
蒲花暗河,黔江区,1,0,1
寻龙山景区,绵阳市,0,1,1
