景区名,标记次数,经度,纬度
四川市稻城县城,2,100.30394368657592,29.044044249499038
四川市桃坪羌寨,2,103.4652146339311,31.5615155673521
四川市龙抄手(春熙路总店),2,104.08410302350536,30.66056086591998
四川市大唐不夜城,2,120.17405696392287,29.699395790614577
四川市陕西历史博物馆,2,108.18151061903339,36.92865969674358
四川市拉孜,2,87.70102164182461,29.158239550450723
四川市羊卓雍措,2,90.62588291184497,29.197019269608308
四川市绒布寺,2,86.83626703445503,28.19735998112836
四川市珠穆朗玛峰,2,86.93416508754449,27.9904583459849
四川市怒江,2,99.13965234090297,24.302770973389624
四川市那曲,2,92.05175813451636,31.475741799723668
四川市大渡河,2,120.2908863564761,29.114051930370945
四川市怒江七十二道拐,2,99.13965234090297,24.302770973389624
四川市纳木措国家公园,2,118.35538402658011,34.61821901626761
四川市普达措国家公园,2,99.95103376709265,27.864875600777214
四川市蓝月谷,2,112.6151991005044,28.30314179914771
四川市虎跳峡,2,100.12073796092903,27.194968989405318
四川市玉龙雪山,2,100.21047913049895,27.140137806851122
四川市珍珠滩,2,103.81222699819685,30.393681698019073
四川市大理,2,100.16212100931848,25.708468324967736
四川市汶川,2,103.5965178842219,31.48300532046848
四川市蚝英雄·自助烤蚝(太古里店),2,116.36526973536427,40.080163212811726
四川市鱼夫鱼仔鹅卵石鱼火锅(九眼桥直营店),2,116.46759984821121,39.89823579247848
四川市成都吃客(九眼桥店),2,104.09784107916111,30.647114729618718
四川市马路边边(致民路直营店),2,116.34025237606414,40.08641852779083
四川市电台巷火锅(科华路店),2,116.45743641967131,39.93855356186985
四川市都江堰景区,2,103.61762680607868,31.007929643881315
四川市鲁朗,2,94.73352013967208,29.737503450882805
四川市映秀地震遗址,2,103.49499903108102,31.061393568196696
四川市青羊宫,2,104.04740526715064,30.667195318182944
四川市锦屏山风景区,2,109.2074384694816,26.682631631864552
四川市黄鹤楼,2,114.30904303319167,30.550316939607782
四川市五彩池,2,117.25768550526604,31.83584009857984
四川市长江索道,2,106.71941409593356,26.527730769957707
四川市迎宾池,2,119.80618838792577,31.238198594113396
四川市黄龙溪,2,103.97648871832655,30.323444643356797
四川市乐山大佛,2,103.78143999089674,29.54754104725997
四川市朝天门广场,2,106.59437356220798,29.572837740519795
四川市攀枝花,2,101.72554117091441,26.58803317333301
四川市贵阳,2,106.63657676352776,26.653324822309752
四川市上海,2,121.48053886017651,31.235929042252014
四川市磨西古镇,2,102.13220739887748,29.648553174032923
四川市猴三老火锅(洪崖洞店),2,107.89966949831071,23.93730417842924
四川市四川大学,2,104.08399190311378,30.63014203788181
四川市珍珠滩瀑布,2,103.81222699819685,30.393681698019073
四川市诺日朗瀑布,2,103.91384322765501,33.16922725270298
四川市南山一棵树观景台,2,113.94289270446147,22.5203227586458
四川市九寨沟,2,104.24954673402509,33.257591509496066
四川市米亚罗风景区,2,102.79781612986811,31.67912554344209
四川市工布江达,2,93.25504114198561,29.887922162883008
四川市重庆洪崖洞民俗风貌区,2,106.58545698171889,29.568606558885943
四川市山城步道,2,114.19062058560844,35.90336961329157
四川市镜海,2,120.63611470282311,30.153291816175468
四川市临夏市,1,103.24954917760394,35.60989877268906
四川市红石滩,1,121.16777078314291,27.827288530313506
四川市尕海湖,1,102.34331603166987,34.22745203107333
四川市巴蜀印象原味老火锅,1,103.97843354975565,30.755500551661974
四川市东公馆,1,121.54799305283419,29.92403081877267
四川市五色海,1,118.34417595856267,35.061645130088436
四川市西关清真大寺,1,103.2094209721677,35.601720849522586
四川市米仓山古栈道,1,106.47537800800907,32.60542348207266
四川市萝卜寨,1,107.29805345778938,26.673145076868025
四川市刘家峡水电站,1,103.32798014184955,35.94866795710471
四川市光雾山,1,106.86272078628134,32.58068755452668
四川市夜啤酒长廊,1,104.02082979694346,30.875783284682996
四川市正宁路小吃夜市,1,113.71480125239898,34.74637426130457
四川市米拉日巴佛阁,1,102.91922077208336,35.01221146291591
四川市杜记甜食,1,113.32842361887707,22.868092351095452
四川市南屏步行街,1,113.5163789552453,22.225347381687353
四川市炳灵寺石窟,1,105.01364628734032,29.96164395533847
四川市中国古羌城,1,103.8443363896677,31.678363913994016
四川市九寨沟保利·新九寨宾馆,1,103.88689199625298,33.292702140215475
四川市川主寺镇,1,103.62904310131333,32.78375672121695
四川市卤盟主卤味火锅(春熙概念店),1,108.9031166504516,34.245151402220664
四川市几何书店·雪域咖啡,1,104.04851009309736,30.524057748316636
四川市伏龙观,1,103.61958439344602,31.00342500377115
四川市宝瓶口,1,103.61940374420796,31.004265993546113
四川市青城山尊酒店,1,103.58940159780241,30.87933126980686
四川市成都启雅尚国际酒店,1,104.04652313113985,30.688933651089926
四川市熊猫主题邮局,1,121.43443126377423,31.275913626430853
四川市成都瓜串串,1,103.92613177753984,30.758822219952453
四川市瓜串串,1,104.0462563344034,30.701128511332524
四川市天府芙蓉园,1,103.99164995940174,30.598440858116145
四川市遂宁,1,105.5994215306444,30.53909767110912
四川市康定机场,1,101.74767498021887,30.14611559142988
四川市电台巷火锅,1,116.45743641967131,39.93855356186985
四川市坪头羌寨,1,103.30040367860103,28.062942529124008
四川市黑水县,1,102.99651735613097,32.067805449367526
四川市塔子山公园,1,104.13048361495213,30.640481914744424
四川市西昌,1,102.27148382916775,27.900580896263623
四川市翠湖地区,1,116.21125965737555,40.11798601413026
四川市琼海,1,110.4805445259504,19.26425401991763
四川市可邑小镇,1,103.37329901477842,24.519567016831456
四川市翠湖公园,1,116.19262601635151,40.10931006396431
四川市则岔石林,1,103.2965081767583,24.77770196131961
四川市仙乃日,1,100.36365360465169,28.424065112070096
四川市南浔,1,120.4314688500174,30.872505141238022
四川市川渝人家(海晏门店),1,116.29128412576533,40.02809199814198
四川市圣寿寺,1,105.8046343818492,29.757913436482305
四川市巴朗山,1,102.90854486025003,30.94096624337844
四川市集渔·泰式海鲜火锅,1,116.45797001314425,39.92279869761851
四川市成都香格里拉大酒店,1,99.71232102535815,27.829472998667473
四川市得劲儿焖烤肉串(红瓦寺店),1,104.10126595874846,30.62799389378616
四川市映秀镇,1,103.49394477973452,31.059889003939073
四川市武汉长江大桥,1,114.30758650985813,30.588503425866772
四川市宜昌,1,111.29254921035434,30.697446484492378
四川市然乌镇,1,99.87230770951301,28.739676892537993
四川市澜沧江,1,102.77304929693732,24.95729471116816
四川市峨眉山,1,103.49154557410374,29.60697552746157
四川市丽江,1,100.23246452903453,26.860657438064884
四川市盔甲山,1,115.63492892520318,29.428260217585002
四川市梅里雪山国家公园,1,120.63485815307574,31.163105527046756
四川市定日,1,87.1295977393142,28.66395198328889
四川市珠穆朗玛,1,116.39258765507546,39.9517516697001
四川市嘉措拉山口,1,108.62946924353601,23.733234360432128
四川市中方,1,109.95591380659206,27.440876509845268
四川市色季拉山,1,91.08405447434167,29.63773216279581
四川市洱海,1,103.43139406029428,30.537936231595054
四川市浪卡子,1,90.40775367306763,28.975645179207202
四川市珠穆朗玛峰国家级自然保护区,1,86.93416508754449,27.9904583459849
四川市株洲,1,113.14047079776427,27.833567639016444
四川市乱七八糟,1,114.51138625948366,36.584488832821144
四川市鹤庆,1,100.18249206302262,26.566197313344603
四川市四洞沟景区,1,105.6549482974822,28.4747363094126
四川市大足石刻,1,105.75951671813382,29.58546291811735
四川市小酒馆,1,116.65058737551024,40.32776098779475
四川市石象湖,1,103.4307109887845,30.200209084694134
四川市青木川古镇,1,105.58766118439944,32.835781779768745
四川市锦城印象火锅酒楼(玉林店),1,103.57724517735505,28.269371277712825
四川市蜀南竹海,1,105.9007744631268,30.99690081057905
四川市郭亮村,1,112.85186383242774,28.459241191799205
四川市美国驻成都总领事馆,1,116.6529240478028,40.1212659578434
四川市方所,1,104.08929100731713,30.659483840382304
四川市麓湖艺展中心,1,103.93723025228508,30.60832803058475
四川市海汇源老烧麦店,1,112.9266496669417,33.737732136833685
四川市广安,1,106.63955268233484,30.461746110678995
四川市阿尔山,1,119.95065315165802,47.18305415374976
四川市兰溪,1,119.4665987055372,29.214044345079238
四川市翡翠岛,1,120.58952821975343,31.122883253044368
四川市厦门,1,118.09643549976651,24.485406605176305
四川市微缩景区杜甫草堂,1,115.90841347164394,39.80430417492745
四川市成都东大明宇豪雅饭店,1,104.09773319266937,30.6528861342859
四川市青岛,1,120.38945519114627,36.072227496663224
四川市柴门饭儿(成都远洋太古里店),1,104.0334738063186,30.66660372668992
四川市大唐芙蓉园,1,108.98072440752787,34.218948697674456
四川市三亚,1,109.51855670139908,18.258736291747855
四川市西安豪享来温德姆至尊酒店,1,108.97217523398942,34.21229338860038
四川市张家界,1,110.48553254695402,29.122815562551878
四川市巴中,1,106.7515853031645,31.872888585956545
四川市将帅碑林,1,108.94697426104305,34.26304713496852
四川市马旺子·川小馆(成都太古里店),1,103.85666940567529,30.050061469920877
四川市燕子沟风景区,1,102.09186647470982,29.697793346886726
四川市紫坪铺水库,1,103.59619674000209,31.02779418680398
四川市永兴坊,1,121.54202886047057,31.281633274255174
四川市岷江源,1,103.72590756411535,32.40776428431404
四川市新都桥镇,1,101.49995699515965,30.051339111284094
四川市东湖公园,1,115.99782235803534,40.46210920935838
四川市NokNok Coffee,1,116.33323598121736,39.79488907891256
四川市炒作大师,1,116.61581307091349,35.424603645488425
四川市锦城印象火锅(淘沙巷店),1,103.57724517735505,28.269371277712825
四川市私藏咖啡,1,120.66776648051861,28.020954940880987
四川市Bar Mu,1,104.09149994056618,30.649914183175213
四川市成都高攀路7322厂,1,104.08918240218098,30.620486858626293
四川市袁记串串香(宽窄巷子店),1,104.08030417933422,30.648834396986697
四川市犀牛海,1,121.3461287304489,30.72045305967194
四川市磐羊湖,1,102.87872219528536,31.232873373672316
四川市芦苇海,1,102.77409887709483,24.829927431333054
四川市庐山黄龙寺,1,115.97476203172093,29.556364981770773
四川市黄龙五彩池,1,109.84654907670661,35.59023376806876
四川市双龙海,1,120.84036557069606,40.720175711379305
四川市理县,1,103.17351138906746,31.442550437563135
四川市凉台沟,1,109.10707134699793,36.26014763169483
四川市双流国际机场,1,103.95818933678277,30.565774101394314
四川市冒椒火辣(奎星楼街店),1,109.85061256168099,40.65728058714948
四川市星巴克(成都锦里店),1,104.05619303063257,30.651356908264983
四川市陈麻婆豆腐(旗舰店),1,104.08088196943824,30.701244877525195
四川市无早书店,1,104.08914404453571,30.652418879843896
四川市苍山风景区,1,118.08617507033073,34.915461043754334
四川市恩施土家女儿城,1,109.51043917692381,30.274406410703712
四川市束河古镇,1,100.21392961179218,26.920915747356883
四川市老北街100号油茶馓子,1,114.64063938801942,32.96641092361772
四川市瓜西西火锅(洪崖洞店),1,106.5855220190378,29.567226858725828
四川市阆中古城-状元坊,1,105.97835832527652,31.582432670002156
四川市当雄,1,91.1074517468307,30.47922172694214
四川市理塘寺,1,100.28242532728947,30.00832812542299
四川市大雪山垭口,1,104.68915596943627,27.948273228953084
四川市文庙,1,126.5784314326954,43.84894351474607
四川市扎基寺,1,91.14877819478916,29.679910830080082
四川市武威,1,102.64455434036918,37.93437780815811
四川市康定情歌,1,101.87897212203221,30.1764249053811
四川市乡城,1,99.80505957092221,28.936733475223633
四川市纳木措,1,118.35538402658011,34.61821901626761
四川市都安,1,108.11145804764794,23.9373312619231
四川市哲蚌寺,1,91.05570763550872,29.67924371702305
四川市来古冰川,1,100.42397276378553,30.5591528400606
四川市木格措,1,101.90724413202555,30.195336172269826
四川市西凉市场,1,102.62814454446567,37.9389668380835
四川市永登,1,103.26662443822926,36.7420952134404
四川市西宁,1,101.78445017050855,36.62338469651661
四川市凉州区,1,102.64857479650965,37.934121948376344
四川市金银滩草原,1,106.2788734980403,37.91802239296439
四川市念青唐古拉观景台,1,98.15444026468765,29.139223857276008
四川市金昌,1,102.19460568669837,38.52582009209263
四川市成都吃客(奎星楼店),1,103.89365488928486,30.810987799501834
四川市嘉州叶婆婆钵钵鸡(建设路店),1,104.09109345732291,30.65679433011552
四川市白塔,1,123.18115668384452,41.27604732000065
四川市状元洞,1,106.00790601892456,31.577265961323537
四川市赵包子,1,103.65324363141323,30.997181650830203
四川市翁达,1,100.73658209312178,31.877294798859683
四川市双廊,1,100.19990661363329,25.915870633026145
四川市夫妻肺片(总店),1,121.16269850108249,27.84059247728984
四川市青城后山,1,103.85742163531376,29.847968308703315
四川市飞泉沟,1,103.49543003806471,30.928483650141697
四川市又一村,1,116.14323969466837,40.245274287638246
四川市翠映湖,1,103.48963084718395,30.942677977237743
四川市猫鼻梁,1,107.87181034953898,29.6624571034742
四川市红衫林,1,102.79078114009725,31.247466581400353
四川市牛棚子,1,103.82769463989573,27.094752624982014
四川市布达拉峰,1,102.77595999748813,30.985833848047797
四川市巴郎山,1,102.90854486025003,30.94096624337844
四川市四姑娜措,1,114.41617270254787,31.423091291686582
四川市海子沟,1,101.66145732415167,36.721063276867675
四川市依拉草原,1,113.86996961064382,22.579873429344598
四川市唐城墙遗址公园,1,126.60910308619754,42.07938188409153
四川市木府,1,103.21364554043195,27.62010425325876
四川市江北国际机场,1,106.77382041828017,29.630891067304116
四川市西安鼓楼,1,108.9500135879055,34.26658181599918
四川市巴蜀大将火锅(春熙店),1,109.53468937004745,25.28761498414603
四川市大雁塔北广场,1,108.970503756927,34.227404797285494
四川市重庆洪崖洞,1,106.58507520187727,29.566718890551236
四川市小雁塔(荐福寺),1,120.1363597696432,30.2027399845019
四川市日喀则,1,88.89370303482552,29.275657822511512
四川市磁器口古镇,1,106.45621695956609,29.58767899332092
四川市天宫院风水文化景区,1,116.33861090240575,39.70130501957377
四川市蔚然花海/洛带古镇,1,97.74384584593737,40.3096742522348
四川市巴蜀大将火锅,1,109.53468937004745,25.28761498414603
四川市清代四川贡院,1,103.93723025228508,30.60832803058475
四川市大成殿,1,116.4209150006882,39.95306307743083
四川市西昌市中心,1,103.93723025228508,30.60832803058475
四川市嘉陵江,1,106.31798859452238,30.092144377638636
四川市格尔底寺,1,102.63738676070507,34.09116960468277
四川市红石崖,1,120.10170997019013,36.10787906689797
四川市南充,1,106.11750261487227,30.843782508337036
四川市桑科草原,1,102.52357810005164,35.1627870004798
四川市尕海乡,1,97.42216246315317,37.2240414114966
四川市八一路街道,1,121.63846285527221,38.89410589099948
四川市郎木寺镇,1,102.64351607886076,34.09586340539889
四川市集渔·泰式海鲜火锅(太古里店),1,116.45797001314425,39.92279869761851
四川市得劲儿焖烤肉串,1,104.10126595874846,30.62799389378616
四川市成都东站-西广场,1,104.14457892670922,30.636134538951225
四川市四川省图书馆,1,104.42391286402265,30.872509170700262
四川市四川美术馆,1,104.06802164809629,30.664741331159675
四川市集渔·泰式海鲜火锅(峨眉山路店),1,116.45797001314425,39.92279869761851
四川市百花潭公园,1,104.05004484806116,30.66235523437145
四川市琴台故径,1,112.91066782378314,33.74571459156625
四川市浣花溪,1,104.04036021635808,30.657384273635337
四川市大熊猫月亮产房,1,104.08710857408064,30.660940633355054
四川市阆中古城地质矿物博览馆,1,105.97275218024984,31.582543873109174
四川市南宁,1,108.37345082581861,22.822606601187154
四川市南津关连峰楼,1,105.97681539573257,31.57279486604138
四川市南津关古镇,1,113.20740641586825,22.638663324077083
四川市阆中蒲氏宅第客栈,1,105.97486050328175,31.580703236801664
四川市贡院民俗广场,1,120.17869430324248,30.273451148433995
四川市觉巴山,1,98.32321147842168,29.555831981316867
四川市永胜,1,100.75758141133471,26.68995024541884
四川市南迦巴瓦峰,1,95.06237864777805,29.63484704155829
四川市成都国际非物质文化遗产博览园,1,103.93537516157642,30.67644705973476
四川市青秀山,1,108.35827799660733,22.83624095182364
四川市孜珠寺,1,95.86642703518702,31.245775898679675
四川市尼玛,1,87.24501904388902,31.80038898514031
四川市田妥镇,1,97.63955032112352,29.89684530590359
四川市萨迦寺,1,88.02696083668522,28.907876177960702
四川市左贡,1,97.84736683298861,29.676848537197444
四川市类乌齐,1,96.51170737115277,31.374625022973593
四川市白云山,1,106.56031466813062,26.198678023883357
四川市扎日南木错,1,90.65987245673698,28.372108655679376
四川市皮央东嘎洞窟遗址,1,91.00506000307573,29.65172203489181
四川市新津老君山,1,103.81394644477349,30.397334650661165
四川市邛海国家湿地公园,1,102.28287991252466,27.824414838934384
四川市汉中,1,107.02943020926463,33.073799907833795
四川市仲巴,1,84.0381168769166,29.775982232026415
四川市白扎乡,1,96.52001615813677,32.07934379483342
四川市共和,1,100.62662348005355,36.28870331786534
四川市康定市区,1,101.96355522139348,30.004407384261924
四川市佩枯措,1,85.62136102416129,28.89008801060459
四川市改则,1,84.06511383691775,32.308545315472585
四川市南门楼,1,114.29501150112581,38.02081405683293
四川市南关清真大寺,1,125.35660981703178,43.869873025193
四川市雅江,1,101.02050035294431,30.037568967863947
四川市祁县,1,112.34244242768281,37.36413128347519
四川市色林措,1,89.17073004021141,31.65234503393907
四川市遇见北欧错觉艺术馆,1,116.14195601609461,39.73687908961882
四川市玛旁雍错,1,86.71300488187921,31.2456801142789
四川市玉树市,1,97.01537640110074,32.99955565088557
