城市,出度,入度,度数,经度,纬度
渝中区,540,634,1174,106.5392297,29.54908521
南岸区,238,217,455,106.6607826,29.53509925
沙坪坝区,225,207,432,106.3684869,29.62456919
九龙坡区,120,107,227,106.3640591,29.42857639
成都市,120,105,225,103.9316933,30.65120719
江北区,109,96,205,106.707849,29.61344075
綦江区,51,45,96,106.7226033,28.87821184
乐山市,36,39,75,103.5711381,29.21250982
大足区,23,29,52,105.7426862,29.64978162
渝北区,29,22,51,106.746744,29.80985233
大渡口区,14,13,27,106.458846,29.41752891
巴南区,10,13,23,106.7514977,29.37154731
南川区,11,11,22,107.1714125,29.13528438
丰都县,12,6,18,107.8309532,29.88443138
绵阳市,8,8,16,105.01,31.432
涪陵区,8,7,15,107.3338132,29.65836036
德阳市,6,8,14,104.4382707,31.12695838
合川区,7,6,13,106.3117339,30.11234875
忠县,5,7,12,107.9147032,30.33544467
北碚区,5,7,12,106.5140439,29.86079131
黔江区,6,6,12,108.7086215,29.43503249
云阳县,8,3,11,108.717,31.097
宜宾市,4,5,9,104.6382682,28.57013595
永川区,5,4,9,105.8729285,29.28984469
南充市,4,4,8,106.2072719,31.19346912
铜梁区,3,4,7,106.0331051,29.81108529
梁平区,3,2,5,107.719593,30.65813156
万州区,3,2,5,108.4064117,30.70376936
雅安市,3,2,5,102.6645277,29.91057185
江津区,1,2,3,106.2632018,29.02933829
垫江县,3,0,3,107.4378231,30.25307171
内江市,2,0,2,104.9139398,29.63813631
长寿区,1,1,2,107.1399724,29.95446381
泸州市,2,0,2,105.4439703,28.8959298
达州市,0,1,1,107.6485784,31.36365576
广安市,0,1,1,106.667105,30.42382644
自贡市,0,1,1,104.6858498,29.28374458
