城市,出度,入度,度数,经度,纬度
渝中区,165,188,353,106.5392297,29.54908521
沙坪坝区,82,83,165,106.3684869,29.62456919
南岸区,69,57,126,106.6607826,29.53509925
成都市,49,56,105,103.9316933,30.65120719
九龙坡区,35,30,65,106.3640591,29.42857639
綦江区,33,31,64,106.7226033,28.87821184
江北区,34,28,62,106.707849,29.61344075
乐山市,22,16,38,103.5711381,29.21250982
大足区,8,12,20,105.7426862,29.64978162
丰都县,11,9,20,107.8309532,29.88443138
南川区,8,11,19,107.1714125,29.13528438
涪陵区,10,7,17,107.3338132,29.65836036
渝北区,6,9,15,106.746744,29.80985233
合川区,3,5,8,106.3117339,30.11234875
德阳市,4,4,8,104.4382707,31.12695838
云阳县,4,3,7,108.717,31.097
忠县,5,1,6,107.9147032,30.33544467
雅安市,2,4,6,102.6645277,29.91057185
大渡口区,3,3,6,106.458846,29.41752891
北碚区,2,3,5,106.5140439,29.86079131
南充市,2,3,5,106.2072719,31.19346912
江津区,2,3,5,106.2632018,29.02933829
永川区,2,2,4,105.8729285,29.28984469
绵阳市,3,1,4,105.01,31.432
铜梁区,1,1,2,106.0331051,29.81108529
黔江区,1,1,2,108.7086215,29.43503249
宜宾市,2,0,2,104.6382682,28.57013595
泸州市,1,1,2,105.4439703,28.8959298
长寿区,1,1,2,107.1399724,29.95446381
巴南区,1,1,2,106.7514977,29.37154731
潼南区,1,0,1,105.814469,30.14303771
万州区,1,0,1,108.4064117,30.70376936
眉山市,0,1,1,103.7548125,29.92418804
开州区,1,0,1,108.367,31.064
达州市,1,0,1,107.6485784,31.36365576
